order_id,payment_sequential,payment_type,payment_installments,payment_value
b81ef226f3fe1789b1e8b2acac839d17,1,credit_card,8,99.33
a9810da82917af2d9aefd1278f1dcfa0,1,credit_card,1,24.39
25e8ea4e93396b6fa0d3dd708e76c1bd,1,credit_card,1,65.71
ba78997921bbcdc1373bb41e913ab953,1,credit_card,8,107.78
42fdf880ba16b47b59251dd489d4441a,1,credit_card,2,128.45
298fcdf1f73eb413e4d26d01b25bc1cd,1,credit_card,2,96.12
771ee386b001f06208a7419e4fc1bbd7,1,credit_card,1,81.16
3d7239c394a212faae122962df514ac7,1,credit_card,3,51.84
1f78449c87a54faf9e96e88ba1491fa9,1,credit_card,6,341.09
0573b5e23cbd798006520e1d5b4c6714,1,boleto,1,51.95
d88e0d5fa41661ce03cf6cf336527646,1,credit_card,8,188.73
2480f727e869fdeb397244a21b721b67,1,credit_card,1,141.9
616105c9352a9668c38303ad44e056cd,1,credit_card,1,75.78
cf95215a722f3ebf29e6bbab87a29e61,1,credit_card,5,102.66
769214176682788a92801d8907fa1b40,1,credit_card,4,105.28
12e5cfe0e4716b59afb0e0f4a3bd6570,1,credit_card,10,157.45
61059985a6fc0ad64e95d9944caacdad,1,credit_card,1,132.04
79da3f5fe31ad1e454f06f95dc032ad5,1,credit_card,1,98.94
8ac09207f415d55acff302df7d6a895c,1,credit_card,4,244.15
b2349a3f20dfbeef62e7b31baa22f84b,1,credit_card,3,136.71
5a1f6d22f7dfb061ef29216b9af687a1,1,credit_card,4,47.69
4214cda550ece8ee66441f459dc33a8c,1,credit_card,2,170.57
adfbf6c2a620196f9a3ec747491c72b7,1,credit_card,4,67.5
4d680edbaa7d3d9bed69532957368a03,1,credit_card,10,353.09
8cd68144cdb62dc0d60848cf8616d2a4,1,boleto,1,330.66
